Name,Division,Records
Roger Narvaez,Middleweight Division,7-2-0 (W-L-D)
Allan Nascimento,Flyweight Division,20-6-0 (W-L-D)
Rodrigo Nascimento,Heavyweight Division,9-1-0 (W-L-D)
Bobby Nash,Welterweight Division,8-4-0 (W-L-D)
Nasrudin Nasrudinov,Light Heavyweight Division,0-1-0 (W-L-D)
Rafael Natal,Middleweight Division,21-9-1 (W-L-D)
Kevin Natividad,Bantamweight Division,9-4-0 (W-L-D)
Ismail Naurdiev,Welterweight Division,19-4-0 (W-L-D)
Reza Nazri,,0-0-0 (W-L-D)
Tafon Nchukwi,Light Heavyweight Division,6-3-0 (W-L-D)
Dustin Neace,Featherweight Division,23-18-1 (W-L-D)
Geoff Neal,Welterweight Division,15-5-0 (W-L-D)
Stanislav Nedkov,Light Heavyweight Division,12-2-0 (W-L-D)
Josh Neer,Welterweight Division,33-13-1 (W-L-D)
Nicolae Negumereanu,Light Heavyweight Division,13-2-0 (W-L-D)
Nair Nelikyan,Lightweight Division,0-0-0 (W-L-D)
Steve Nelmark,,0-0-0 (W-L-D)
Kyle Nelson,Featherweight Division,13-5-1 (W-L-D)
Gunnar Nelson,Welterweight Division,19-5-1 (W-L-D)
Shane Nelson,Lightweight Division,13-5-0 (W-L-D)
Roy Nelson,Heavyweight Division,23-14-0 (W-L-D)
Antonio Braga Neto,Middleweight Division,9-3-0 (W-L-D)
Mario Neto,Heavyweight Division,9-3-0 (W-L-D)
Eduardo Neves,Heavyweight Division,0-1-0 (W-L-D)
Nick Newell,Lightweight Division,14-1-0 (W-L-D)
Journey Newson,Bantamweight Division,10-4-0 (W-L-D)
Carlos Newton,Welterweight Division,13-8-0 (W-L-D)
Jeff Newton,Light Heavyweight Division,4-2-0 (W-L-D)
Francis Ngannou,Heavyweight Division,17-3-0 (W-L-D)
Ben Nguyen,Flyweight Division,17-8-0 (W-L-D)
Steven Nguyen,Featherweight Division,1-0-0 (W-L-D)
Alex Nicholson,Middleweight Division,7-4-0 (W-L-D)
Bo Nickal,Middleweight Division,4-0-0 (W-L-D)
Mike Nickels,Light Heavyweight Division,5-1-0 (W-L-D)
Matheus Nicolau,Flyweight Division,19-4-1 (W-L-D)
Jaimee Nievera,Women's Flyweight Division,7-4-0 (W-L-D)
Tom Niinimaki,Featherweight Division,21-8-1 (W-L-D)
Ramsey Nijem,Lightweight Division,10-5-0 (W-L-D)
Jack Nilsson,Lightweight Division,0-0-0 (W-L-D)
Mats Nilsson,Welterweight Division,11-4-1 (W-L-D)
Yamato Nishikawa,Lightweight Division,0-0-0 (W-L-D)
Anthony Njokuani,Lightweight Division,16-9-0 (W-L-D)
Chidi Njokuani,Middleweight Division,22-9-0 (W-L-D)
Derrick Noble,Welterweight Division,15-7-1 (W-L-D)
Kyle Noblitt,Heavyweight Division,0-0-0 (W-L-D)
Pedro Nobre,Bantamweight Division,14-1-2 (W-L-D)
Minotauro Nogueira,Heavyweight Division,34-10-1 (W-L-D)
Alexandre Nogueira,Bantamweight Division,13-4-2 (W-L-D)
Antonio Rogerio Nogueira,Light Heavyweight Division,23-10-0 (W-L-D)
Kyle Noke,Welterweight Division,22-10-1 (W-L-D)
KJ Noons,Lightweight Division,12-8-0 (W-L-D)
Sage Northcutt,Welterweight Division,11-2-0 (W-L-D)
Shohei Nose,Bantamweight Division,1-1-0 (W-L-D)
Jason Novelli,Lightweight Division,11-3-0 (W-L-D)
Phillipe Nover,Featherweight Division,12-8-1 (W-L-D)
Shayilan Nuerdanbieke,Featherweight Division,39-11-0 (W-L-D)
Istela Nunes,Women's Strawweight Division,6-4-0 (W-L-D)
Amanda Nunes,Women's Bantamweight Division,22-5-0 (W-L-D)
Diego Nunes,Featherweight Division,18-4-0 (W-L-D)
Josiane Nunes,Women's Featherweight Division,10-1-0 (W-L-D)
Abubakar Nurmagomedov,Welterweight Division,17-3-1 (W-L-D)
Khabib Nurmagomedov,Lightweight Division,29-0-0 (W-L-D)
Said Nurmagomedov,Bantamweight Division,17-3-0 (W-L-D)
Umar Nurmagomedov,Bantamweight Division,16-0-0 (W-L-D)
Jesse Nutting,N/A,N/A
Kennedy Nzechukwu,Light Heavyweight Division,11-3-0 (W-L-D)
TJ O'Brien,Lightweight Division,16-5-0 (W-L-D)
Jake O'Brien,Light Heavyweight Division,11-3-0 (W-L-D)
Sean O'Connell,Light Heavyweight Division,17-9-0 (W-L-D)
Sean O'Malley,Bantamweight Division,16-1-0 (W-L-D)
Chuck O'Neil,Welterweight Division,8-5-0 (W-L-D)
Casey O'Neill,Women's Flyweight Division,9-1-0 (W-L-D)
Brendan O'Reilly,Welterweight Division,6-3-0 (W-L-D)
Christian Ocon,Bantamweight Division,4-0-0 (W-L-D)
Richard Odoms,Heavyweight Division,8-1-0 (W-L-D)
Volkan Oezdemir,Light Heavyweight Division,18-7-0 (W-L-D)
Trey Ogden,Lightweight Division,16-6-0 (W-L-D)
Andy Ogle,Featherweight Division,9-6-0 (W-L-D)
Ho Taek Oh,Lightweight Division,0-0-0 (W-L-D)
Koji Oishi,Welterweight Division,11-4-4 (W-L-D)
Yushin Okami,Welterweight Division,34-13-0 (W-L-D)
JJ Okanovich,Lightweight Division,0-0-0 (W-L-D)
Aleksei Oleinik,Heavyweight Division,60-17-1 (W-L-D)
Michal Oleksiejczuk,Middleweight Division,18-5-0 (W-L-D)
Maria Oliveira,Women's Strawweight Division,13-6-0 (W-L-D)
Ednaldo Oliveira,Light Heavyweight Division,13-2-1 (W-L-D)
Rafaello Oliveira,Lightweight Division,15-7-0 (W-L-D)
Charles Oliveira,Lightweight Division,33-9-0 (W-L-D)
Wendell Oliveira,Welterweight Division,24-9-0 (W-L-D)
Alex Oliveira,Welterweight Division,22-12-1 (W-L-D)
Saimon Oliveira,Bantamweight Division,18-5-0 (W-L-D)
Bruno Oliveira,Light Heavyweight Division,0-1-0 (W-L-D)
Felipe Olivieri,Lightweight Division,14-5-0 (W-L-D)
Cameron Olson,Light Heavyweight Division,8-3-0 (W-L-D)
Gadzhi Omargadzhiev,Welterweight Division,13-2-0 (W-L-D)
Alan Omer,Featherweight Division,18-5-0 (W-L-D)
Daniel Omielanczuk,Heavyweight Division,19-8-1 (W-L-D)
Michihiro Omigawa,Featherweight Division,13-12-1 (W-L-D)
David Onama,Featherweight Division,10-2-0 (W-L-D)
Charlie Ontiveros,Lightweight Division,11-9-0 (W-L-D)
Chibwikem Onyenegecha,Middleweight Division,6-0-0 (W-L-D)
Brian Ortega,Featherweight Division,15-3-0 (W-L-D)
Tito Ortiz,Light Heavyweight Division,0-0-0 (W-L-D)
Dustin Ortiz,Flyweight Division,19-8-0 (W-L-D)
Ode' Osbourne,Flyweight Division,11-5-0 (W-L-D)
Nick Osipczak,Welterweight Division,5-4-0 (W-L-D)
Nissen Osterneck,Middleweight Division,5-2-0 (W-L-D)
Rachael Ostovich,Women's Flyweight Division,4-6-0 (W-L-D)
Zak Ottow,Welterweight Division,17-7-0 (W-L-D)
Sidney Outlaw,Welterweight Division,9-4-0 (W-L-D)
Alistair Overeem,Heavyweight Division,47-19-0 (W-L-D)
Alptekin Ozkilic,Flyweight Division,9-3-0 (W-L-D)
Nick Pace,Bantamweight Division,6-3-0 (W-L-D)
Larissa Pacheco,Women's Bantamweight Division,10-2-0 (W-L-D)
Teemu Packalen,Lightweight Division,8-3-0 (W-L-D)
Fernando Padilla,Featherweight Division,14-4-0 (W-L-D)
Dustin Pague,Bantamweight Division,11-10-0 (W-L-D)
Raulian Paiva,Bantamweight Division,21-5-0 (W-L-D)
Dinis Paiva,Featherweight Division,13-8-0 (W-L-D)
Fredson Paixao,Featherweight Division,10-4-0 (W-L-D)
Rick Palacios,Featherweight Division,10-1-0 (W-L-D)
Bart Palaszewski,Featherweight Division,35-17-0 (W-L-D)
Sasha Palatnikov,Welterweight Division,6-4-0 (W-L-D)
Soa Palelei,Heavyweight Division,22-5-0 (W-L-D)
Rousimar Palhares,Welterweight Division,24-5-0 (W-L-D)
Tulio Palhares,Middleweight Division,0-0-0 (W-L-D)
Alexandre Pantoja,Flyweight Division,25-5-0 (W-L-D)
Jared Papazian,Flyweight Division,14-9-0 (W-L-D)
Kathryn Paprocki,Women's Strawweight Division,0-1-0 (W-L-D)
Joe Pardo,Heavyweight Division,0-0-0 (W-L-D)
Remco Pardoel,,0-0-0 (W-L-D)
Josh Parisian,Heavyweight Division,15-6-0 (W-L-D)
Karo Parisyan,Welterweight Division,26-6-0 (W-L-D)
Junyong Park,Middleweight Division,16-5-0 (W-L-D)
Harvey Park,Lightweight Division,0-0-0 (W-L-D)
HyunSung Park,Flyweight Division,8-0-0 (W-L-D)
Norman Parke,Lightweight Division,22-5-1 (W-L-D)
Ryan Parker,,0-0-0 (W-L-D)
Mick Parkin,Heavyweight Division,6-0-0 (W-L-D)
Jonny Parsons,Welterweight Division,8-2-0 (W-L-D)
Preston Parsons,Welterweight Division,10-4-0 (W-L-D)
Onassis Parungao,,0-0-0 (W-L-D)
Ramona Pascual,Women's Bantamweight Division,6-5-0 (W-L-D)
Jhonoven Pati,Middleweight Division,0-1-0 (W-L-D)
Wendris Patilima,N/A,N/A
Jorge Patino,Lightweight Division,0-0-0 (W-L-D)
Alan Patrick,Lightweight Division,15-4-0 (W-L-D)
Claude Patrick,Welterweight Division,14-2-0 (W-L-D)
Michael Patt,Light Heavyweight Division,15-4-0 (W-L-D)
Sam Patterson,Lightweight Division,10-2-1 (W-L-D)
Zac Pauga,Light Heavyweight Division,7-1-0 (W-L-D)
Julio Paulino,Welterweight Division,18-4-0 (W-L-D)
Thomas Paull,Lightweight Division,0-1-0 (W-L-D)
Sergei Pavlovich,Heavyweight Division,18-1-0 (W-L-D)
Pawel Pawlak,Welterweight Division,11-2-0 (W-L-D)
Estevan Payan,Featherweight Division,14-6-0 (W-L-D)
Roland Payne,,0-0-0 (W-L-D)
Jonathan Pearce,Featherweight Division,14-4-0 (W-L-D)
Ross Pearson,Lightweight Division,22-16-0 (W-L-D)
Andre Pederneiras,Lightweight Division,0-0-0 (W-L-D)
Carlo Pedersoli,Welterweight Division,11-3-0 (W-L-D)
Tyson Pedro,Light Heavyweight Division,9-4-0 (W-L-D)
Trevor Peek,Lightweight Division,8-0-0 (W-L-D)
Filip Pejic,Bantamweight Division,10-2-0 (W-L-D)
Kurt Pellegrino,Lightweight Division,21-6-0 (W-L-D)
Julianna Peña,Women's Bantamweight Division,12-5-0 (W-L-D)
Luis Pena,Lightweight Division,9-3-0 (W-L-D)
Matěj Peňáz,Middleweight Division,0-1-0 (W-L-D)
Sherman Pendergarst,Heavyweight Division,8-3-0 (W-L-D)
Cathal Pendred,Welterweight Division,17-5-1 (W-L-D)
BJ Penn,Lightweight Division,16-14-2 (W-L-D)
Jessica Penne,Women's Strawweight Division,14-8-0 (W-L-D)
Nick Penner,Light Heavyweight Division,12-3-0 (W-L-D)
Raquel Pennington,Women's Bantamweight Division,15-9-0 (W-L-D)
Robbie Peralta,Featherweight Division,18-6-0 (W-L-D)
Alberto Pereira,Middleweight Division,9-2-0 (W-L-D)
Viviane Pereira,Women's Strawweight Division,13-1-0 (W-L-D)
Daniel Pereira,Middleweight Division,0-0-0 (W-L-D)
Alex Pereira,Middleweight Division,7-2-0 (W-L-D)
Michel Pereira,Welterweight Division,28-11-0 (W-L-D)
Dorian Perez,N/A,N/A
Ailin Perez,Women's Featherweight Division,7-2-0 (W-L-D)
Erik Perez,Bantamweight Division,16-6-0 (W-L-D)
Markus Perez,Middleweight Division,12-5-0 (W-L-D)
Alex Perez,Flyweight Division,24-7-0 (W-L-D)
Frankie Perez,Lightweight Division,10-4-0 (W-L-D)
Alejandro Pérez,Featherweight Division,23-9-1 (W-L-D)
Anthony Perosh,Light Heavyweight Division,15-10-0 (W-L-D)
Hernani Perpetuo,Welterweight Division,17-5-0 (W-L-D)
Thiago Perpétuo,Welterweight Division,9-4-1 (W-L-D)
Jay Perrin,Bantamweight Division,10-7-0 (W-L-D)
Mike Perry,Welterweight Division,14-8-0 (W-L-D)
Raphael Pessoa Nunes,Heavyweight Division,10-2-0 (W-L-D)
Viktor Pesta,Heavyweight Division,10-4-0 (W-L-D)
Tony Peterra,Middleweight Division,0-0-0 (W-L-D)
Emily Peters Kagan,Women's Strawweight Division,3-3-0 (W-L-D)
Steven Peterson,Featherweight Division,19-11-0 (W-L-D)
Vitor Petrino,Light Heavyweight Division,8-0-0 (W-L-D)
Andre Petroski,Middleweight Division,9-2-0 (W-L-D)
Armen Petrosyan,Middleweight Division,8-2-0 (W-L-D)
Seth Petruzelli,Light Heavyweight Division,14-7-0 (W-L-D)
Peter Petties,Featherweight Division,5-3-0 (W-L-D)
Sergio Pettis,Bantamweight Division,18-5-0 (W-L-D)
Anthony Pettis,Welterweight Division,24-10-0 (W-L-D)
Forrest Petz,Welterweight Division,24-9-0 (W-L-D)
Cody Pfister,Lightweight Division,12-6-1 (W-L-D)
Nam Phan,Bantamweight Division,18-14-0 (W-L-D)
Costas Philippou,Middleweight Division,13-5-0 (W-L-D)
Kyler Phillips,Bantamweight Division,10-2-0 (W-L-D)
John Phillips,Middleweight Division,22-11-0 (W-L-D)
Elizabeth Phillips,Women's Bantamweight Division,5-4-0 (W-L-D)
Aaron Phillips,Bantamweight Division,12-5-0 (W-L-D)
Vinc Pichel,Lightweight Division,14-3-0 (W-L-D)
Brad Pickett,Bantamweight Division,26-14-0 (W-L-D)
Jamie Pickett,Middleweight Division,13-9-0 (W-L-D)
Oskar Piechota,Middleweight Division,11-3-1 (W-L-D)
Mike Pierce,Welterweight Division,17-7-0 (W-L-D)
Joao Pierini,Welterweight Division,0-0-0 (W-L-D)
Sean Pierson,Welterweight Division,14-6-0 (W-L-D)
Domingo Pilarte,Bantamweight Division,8-3-0 (W-L-D)
Paddy Pimblett,Lightweight Division,20-3-0 (W-L-D)
Daniel Pineda,Featherweight Division,28-14-0 (W-L-D)
Jesus Pinedo,Lightweight Division,16-5-1 (W-L-D)
Luana Pinheiro,Women's Strawweight Division,11-1-0 (W-L-D)
Gaetano Pirrello,Bantamweight Division,15-7-1 (W-L-D)
Maki Pitolo,Middleweight Division,13-9-0 (W-L-D)
Dmitry Poberezhets,Heavyweight Division,24-5-1 (W-L-D)
Jamal Pogues,Heavyweight Division,10-3-0 (W-L-D)
Ross Pointon,Welterweight Division,4-9-0 (W-L-D)
Dustin Poirier,Lightweight Division,29-7-0 (W-L-D)
Igor Pokrajac,Light Heavyweight Division,25-13-0 (W-L-D)
John Polakowski,Lightweight Division,2-2-0 (W-L-D)
Julia Polastri,Women's Flyweight Division,0-1-0 (W-L-D)
Santiago Ponzinibbio,Welterweight Division,30-7-0 (W-L-D)
Grigory Popov,Bantamweight Division,13-3-0 (W-L-D)
Alexander Poppeck,Light Heavyweight Division,0-0-0 (W-L-D)
Parker Porter,Heavyweight Division,13-8-0 (W-L-D)
Ihor Potieria,Light Heavyweight Division,20-3-0 (W-L-D)
Callan Potter,Welterweight Division,18-9-0 (W-L-D)
Dylan Potter,Heavyweight Division,0-1-0 (W-L-D)
Ruan Potts,Heavyweight Division,8-4-0 (W-L-D)
Devin Powell,Lightweight Division,9-4-0 (W-L-D)
Marcin Prachnio,Light Heavyweight Division,16-6-0 (W-L-D)
Francisco Prado,Lightweight Division,11-1-0 (W-L-D)
Wagner Prado,Light Heavyweight Division,8-2-0 (W-L-D)
Trevor Prangley,Middleweight Division,11-4-0 (W-L-D)
Ricardo Prasel,Heavyweight Division,9-2-0 (W-L-D)
Rana Rudra Pratap Singh,N/A,N/A
Carlo Prater,Lightweight Division,30-12-1 (W-L-D)
Michel Prazeres,Welterweight Division,26-4-0 (W-L-D)
Kyle Prepolec,Welterweight Division,12-7-0 (W-L-D)
Dorian Price,Welterweight Division,8-3-0 (W-L-D)
Chris Price,Middleweight Division,8-2-0 (W-L-D)
Niko Price,Welterweight Division,15-6-0 (W-L-D)
Shane Primm,Light Heavyweight Division,1-1-0 (W-L-D)
Jiří Procházka,Light Heavyweight Division,29-3-1 (W-L-D)
Lara Procopio,Women's Flyweight Division,7-2-0 (W-L-D)
Joe Proctor,Welterweight Division,11-5-0 (W-L-D)
Andrew Provost,N/A,N/A
Lucie Pudilova,Women's Bantamweight Division,9-7-0 (W-L-D)
Claudio Puelles,Lightweight Division,13-3-0 (W-L-D)
Juan Puerta,Flyweight Division,1-0-0 (W-L-D)
Juan Puig,Featherweight Division,11-4-0 (W-L-D)
Jens Pulver,Lightweight Division,22-13-1 (W-L-D)
CM Punk,Welterweight Division,0-1-0 (W-L-D)
Joe Pyfer,Middleweight Division,11-2-0 (W-L-D)
Mike Pyle,Welterweight Division,27-14-1 (W-L-D)
Billy Quarantillo,Featherweight Division,17-5-0 (W-L-D)
Nate Quarry,Middleweight Division,18-4-0 (W-L-D)
Vinicius Queiroz,Heavyweight Division,5-2-0 (W-L-D)
Jimmy Quinlan,Middleweight Division,3-1-0 (W-L-D)
Josh Quinlan,Welterweight Division,6-0-0 (W-L-D)
Isaih Quinones,N/A,N/A
Michel Quinones,Lightweight Division,8-3-0 (W-L-D)
Landon Quinones,Lightweight Division,0-0-0 (W-L-D)
Jose Quinonez,Bantamweight Division,9-5-0 (W-L-D)
Cristian Quiñonez,Bantamweight Division,18-3-0 (W-L-D)
Benji Radach,Middleweight Division,0-0-0 (W-L-D)
Jordan Radev,Middleweight Division,16-3-0 (W-L-D)
Loik Radzhabov,Lightweight Division,17-4-1 (W-L-D)
Josh Raferty,Welterweight Division,0-0-0 (W-L-D)
Ricky Rainey,Welterweight Division,13-6-0 (W-L-D)
Shavkat Rakhmonov,Welterweight Division,17-0-0 (W-L-D)
Aleksandar Rakić,Light Heavyweight Division,14-3-0 (W-L-D)
Jessica Rakoczy,Women's Strawweight Division,1-4-0 (W-L-D)
Thomas Ramirez,,0-0-0 (W-L-D)
Hector Ramirez,Light Heavyweight Division,6-2-1 (W-L-D)
Luis Ramos,Welterweight Division,19-8-0 (W-L-D)
Davi Ramos,Lightweight Division,10-4-0 (W-L-D)
Ricardo Ramos,Featherweight Division,16-4-0 (W-L-D)
Vernon Ramos,Welterweight Division,3-1-0 (W-L-D)
Kevin Randleman,Light Heavyweight Division,10-5-0 (W-L-D)
Mitch Raposo,Flyweight Division,0-1-0 (W-L-D)
Bec Rawlings,Women's Flyweight Division,7-8-0 (W-L-D)
Gideon Ray,Middleweight Division,8-3-0 (W-L-D)
Stevie Ray,Lightweight Division,23-9-0 (W-L-D)
Mateusz Rębecki,Lightweight Division,17-1-0 (W-L-D)
Greg Rebello,Heavyweight Division,24-8-0 (W-L-D)
Paul Redmond,Featherweight Division,10-5-0 (W-L-D)
Karl Reed,Light Heavyweight Division,2-1-0 (W-L-D)
Elise Reed,Women's Strawweight Division,6-3-0 (W-L-D)
Johnny Rees,Welterweight Division,10-2-0 (W-L-D)
Zach Reese,N/A,N/A
Steve Regman,Middleweight Division,9-3-0 (W-L-D)
Chad Reiner,Welterweight Division,13-2-0 (W-L-D)
Jason Reinhardt,Bantamweight Division,20-3-0 (W-L-D)
Wilson Reis,Flyweight Division,23-10-0 (W-L-D)
Leigh Remedios,Lightweight Division,11-3-1 (W-L-D)
Paulo Renato Jr.,Heavyweight Division,0-1-0 (W-L-D)
Chance Rencountre,Welterweight Division,14-4-0 (W-L-D)
Marion Reneau,Women's Bantamweight Division,9-8-1 (W-L-D)
Solomon Renfro,Welterweight Division,0-1-0 (W-L-D)
Jon Delos Reyes,Flyweight Division,8-5-0 (W-L-D)
Alex Reyes,Welterweight Division,13-3-0 (W-L-D)
Dominick Reyes,Light Heavyweight Division,12-4-0 (W-L-D)
Marco Polo Reyes,Lightweight Division,8-8-0 (W-L-D)
Kyle Reyes,Featherweight Division,0-0-0 (W-L-D)
Victor Reyna,Welterweight Division,11-5-0 (W-L-D)
Johnny Rhodes,,0-0-0 (W-L-D)
Mike Rhodes,Welterweight Division,6-4-0 (W-L-D)
Lucrezia Ria,Women's Flyweight Division,0-0-0 (W-L-D)
Amanda Ribas,Women's Flyweight Division,12-3-0 (W-L-D)
Claudio Ribeiro,Middleweight Division,10-3-0 (W-L-D)
Esteban Ribovics,Lightweight Division,11-1-0 (W-L-D)
Mike Ricci,Lightweight Division,9-4-0 (W-L-D)
Alessandro Ricci,Lightweight Division,10-5-0 (W-L-D)
Tabatha Ricci,Women's Strawweight Division,8-1-0 (W-L-D)
Brad Riddell,Lightweight Division,10-4-0 (W-L-D)
Matthew Riddle,Welterweight Division,7-3-0 (W-L-D)
Joe Riggs,Middleweight Division,41-17-0 (W-L-D)
Aaron Riley,Lightweight Division,29-14-1 (W-L-D)
Jordan Rinaldi,Lightweight Division,14-7-0 (W-L-D)
Nick Ring,Middleweight Division,13-3-0 (W-L-D)
Mike Rio,Lightweight Division,9-4-0 (W-L-D)
Diego Rivas,Bantamweight Division,7-2-0 (W-L-D)
Jay Rivera,N/A,N/A
Jorge Rivera,Middleweight Division,19-9-0 (W-L-D)
Francisco Rivera,Bantamweight Division,11-7-0 (W-L-D)
Dante Rivera,Middleweight Division,10-3-0 (W-L-D)
Jimmie Rivera,Bantamweight Division,23-5-0 (W-L-D)
Jerome Rivera,Flyweight Division,10-6-0 (W-L-D)
Irwin Rivera,Bantamweight Division,10-6-0 (W-L-D)
Russell Rivero,N/A,N/A
Pedro Rizzo,Heavyweight Division,13-5-0 (W-L-D)
Theo Rlayang,Featherweight Division,0-1-0 (W-L-D)
Kali Robbins,Women's Strawweight Division,6-2-0 (W-L-D)
Karl Roberson,Light Heavyweight Division,9-6-0 (W-L-D)
Roosevelt Roberts,Lightweight Division,10-3-0 (W-L-D)
Tyrone Roberts,Middleweight Division,0-0-0 (W-L-D)
Joey Roberts,Heavyweight Division,0-0-0 (W-L-D)
David Roberts,Lightweight Division,0-0-0 (W-L-D)
Andre Roberts,Heavyweight Division,0-0-0 (W-L-D)
Buddy Roberts,Middleweight Division,12-3-0 (W-L-D)
Daniel Roberts,Welterweight Division,12-4-0 (W-L-D)
Danny Roberts,Welterweight Division,18-7-0 (W-L-D)
Kenny Robertson,Welterweight Division,15-5-0 (W-L-D)
Gillian Robertson,Women's Strawweight Division,12-7-0 (W-L-D)
Alvin Robinson,Lightweight Division,10-4-0 (W-L-D)
Colin Robinson,Heavyweight Division,9-4-0 (W-L-D)
Mark David Robinson,Heavyweight Division,1-0-0 (W-L-D)
Vagner Rocha,Lightweight Division,11-4-0 (W-L-D)
Carlos Eduardo Rocha,Welterweight Division,9-2-0 (W-L-D)
Keith Rockel,Middleweight Division,10-4-1 (W-L-D)
Luke Rockhold,Middleweight Division,16-6-0 (W-L-D)
Gregory Rodrigues,Middleweight Division,13-5-0 (W-L-D)
Kleydson Rodrigues,Flyweight Division,8-2-0 (W-L-D)
Marina Rodriguez,Women's Strawweight Division,16-2-2 (W-L-D)
Daniel Rodriguez,Welterweight Division,17-3-0 (W-L-D)
Azael Rodriguez,N/A,N/A
Ricco Rodriguez,Heavyweight Division,10-4-0 (W-L-D)
Paul Rodriguez,Lightweight Division,0-0-0 (W-L-D)
Manuel Rodriguez,Welterweight Division,10-4-0 (W-L-D)
Mike Rodriguez,Light Heavyweight Division,11-7-0 (W-L-D)
Yair Rodriguez,Featherweight Division,16-3-0 (W-L-D)
Luis Rodriguez,Flyweight Division,0-1-0 (W-L-D)
Pete Rodriguez,Welterweight Division,5-1-0 (W-L-D)
Christian Rodriguez,Bantamweight Division,9-1-0 (W-L-D)
Drako Rodriguez,Bantamweight Division,7-3-0 (W-L-D)
Victor Rodriguez,Flyweight Division,7-4-0 (W-L-D)
Ray Rodriguez,Bantamweight Division,16-8-0 (W-L-D)
Piera Rodriguez,Women's Strawweight Division,9-1-0 (W-L-D)
Nick Roehrick,Light Heavyweight Division,7-1-0 (W-L-D)
Saul Rogers,N/A,N/A
Max Rohskopf,Lightweight Division,0-1-0 (W-L-D)
Marcelo Rojo,Featherweight Division,16-10-0 (W-L-D)
Shane Roller,Lightweight Division,11-7-0 (W-L-D)
Jared Rollins,Welterweight Division,9-4-0 (W-L-D)
Alexandr Romanov,Heavyweight Division,16-2-0 (W-L-D)
Yoel Romero,Middleweight Division,13-5-0 (W-L-D)
Ricardo Romero,Light Heavyweight Division,11-3-0 (W-L-D)
Anthony Romero,Lightweight Division,1-0-0 (W-L-D)
Kaleio Romero,Featherweight Division,0-1-0 (W-L-D)
Mara Romero Borella,Flyweight Division,12-9-0 (W-L-D)
Juancamilo Ronderos,Flyweight Division,4-2-0 (W-L-D)
Rong Zhu,Lightweight Division,21-5-0 (W-L-D)
Jesse Ronson,Lightweight Division,21-12-0 (W-L-D)
George Roop,Bantamweight Division,15-13-1 (W-L-D)
Joao Roque,Lightweight Division,0-0-0 (W-L-D)
Marcos Rosa,Lightweight Division,6-6-0 (W-L-D)
Aaron Rosa,Light Heavyweight Division,17-5-0 (W-L-D)
Charles Rosa,Featherweight Division,14-8-0 (W-L-D)
Karol Rosa,Women's Featherweight Division,16-5-0 (W-L-D)
Jacob Rosales,Lightweight Division,11-5-0 (W-L-D)
Raul Rosas Jr.,Bantamweight Division,7-1-0 (W-L-D)
Hilarie Rose,Women's Strawweight Division,4-2-0 (W-L-D)
Jared Rosholt,Heavyweight Division,14-3-0 (W-L-D)
Jake Rosholt,Middleweight Division,6-2-0 (W-L-D)
Kevin Rosier,,1-2-0 (W-L-D)
Shannon Ross,Flyweight Division,13-7-0 (W-L-D)
Kristian Rothaermel,Light Heavyweight Division,40-4-0 (W-L-D)
Ben Rothwell,Heavyweight Division,39-14-0 (W-L-D)
Khalil Rountree Jr.,Light Heavyweight Division,12-5-0 (W-L-D)
Ronda Rousey,Women's Bantamweight Division,12-2-0 (W-L-D)
Phil Rowe,Welterweight Division,10-3-0 (W-L-D)
Brandon Royval,Flyweight Division,15-6-0 (W-L-D)
Jairzinho Rozenstruik,Heavyweight Division,13-4-0 (W-L-D)
Mauricio Rua,Light Heavyweight Division,27-14-1 (W-L-D)
Marco Ruas,Heavyweight Division,0-0-0 (W-L-D)
Rodrigo Ruas,Middleweight Division,0-0-0 (W-L-D)
Rodolfo Rubio,Featherweight Division,12-8-0 (W-L-D)
Gabe Ruediger,Lightweight Division,17-7-0 (W-L-D)
Eddie Ruiz,Lightweight Division,7-2-0 (W-L-D)
Montserrat Ruiz,Women's Strawweight Division,10-2-0 (W-L-D)
Mike Russow,Heavyweight Division,15-3-0 (W-L-D)
Bas Rutten,Heavyweight Division,0-0-0 (W-L-D)
Cameron Saaiman,Bantamweight Division,8-0-0 (W-L-D)
Danny Sabatello,Bantamweight Division,1-0-0 (W-L-D)
Pat Sabatini,Featherweight Division,17-4-0 (W-L-D)
Amir Sadollah,Welterweight Division,7-5-0 (W-L-D)
Nazim Sadykhov,Lightweight Division,8-1-0 (W-L-D)
Frankie Saenz,Bantamweight Division,13-7-0 (W-L-D)
Saparbeg Safarov,Middleweight Division,9-3-0 (W-L-D)
Tarec Saffiedine,Welterweight Division,16-7-0 (W-L-D)
Jason Saggo,Lightweight Division,12-4-0 (W-L-D)
Wang Sai,Welterweight Division,8-5-1 (W-L-D)
Benoît Saint-Denis,Lightweight Division,10-1-0 (W-L-D)
Ovince Saint Preux,Light Heavyweight Division,26-17-0 (W-L-D)
Lukasz Sajewski,Lightweight Division,13-3-0 (W-L-D)
Augusto Sakai,Heavyweight Division,16-5-1 (W-L-D)
Alessio Sakara,Middleweight Division,19-11-0 (W-L-D)
Gokhan Saki,Light Heavyweight Division,1-2-0 (W-L-D)
Kazushi Sakuraba,Heavyweight Division,0-0-0 (W-L-D)
Hayato Sakurai,Welterweight Division,16-3-2 (W-L-D)
Justin Salas,Lightweight Division,12-7-0 (W-L-D)
Ivan Salaverry,Middleweight Division,12-6-1 (W-L-D)
